Method,OCI→M HTER (%),OCI→M AUC (%),OMI→C HTER (%),OMI→C AUC (%),OCM→I HTER (%),OCM→I AUC (%),ICM→O HTER (%),ICM→O AUC (%)
D^2 AM,12.7,95.66,20.98,85.58,15.43,91.22,15.27,90.87
PatchNet,7.1,98.46,11.33,94.58,13.4,95.67,11.82,95.07
RFMeta,13.89,93.98,20.27,88.16,17.3,90.48,16.45,91.16
NAS-FAS,19.53,88.63,16.54,90.18,14.51,93.84,13.8,93.43
SDA,15.4,91.8,24.5,84.4,15.6,90.1,23.1,84.3
DRDG,12.43,95.81,19.05,88.79,15.56,91.79,15.63,91.75
ANRL,10.83,96.75,17.83,89.26,16.03,91.04,15.67,91.9
SSDG-R,7.38,97.17,10.44,95.94,11.71,96.59,15.61,91.54
SSAN-R,6.67,98.75,10.0,96.67,8.88,96.79,13.72,93.63
SA-FAS,5.95,96.55,8.78,95.37,6.58,97.54,10.0,96.23
NDA-FAS,4.29,99.18,12.67,94.21,7.5,96.79,20.21,87.26
DFF-Net,7.52,96.92,13.15,92.9,13.2,93.28,13.68,93.93
FAMIM,5.71,97.71,9.89,95.6,8.42,96.05,12.66,94.9
MFAE,3.33,98.8,8.56,97.0,7.0,98.01,11.39,95.17
DiVT-T,5.71,98.36,10.0,96.8,17.86,88.88,13.33,94.11
EBDG,9.56,97.17,18.34,90.01,18.69,92.28,15.66,92.02
EPCR,12.5,95.3,18.9,89.7,14.0,92.4,17.09,90.09
OURS,10.57,90.01,8.76,97.33,9.34,95.61,12.07,93.1
