Method,C to W - HTER (%),C to W - AUC (%),I to W - HTER (%),I to W - AUC (%),M to W - HTER (%),M to W - AUC (%),O to W - HTER (%),O to W - AUC (%)
MS-LBP,43.84,52.71,54.12,44.42,54.19,46.15,42.53,54.86
Color texture,45.1,54.8,57.47,41.8,46.84,53.97,47.17,53.55
CNN,41.92,59.64,43.29,53.84,43.56,57.22,42.06,57.88
DTN,45.39,55.13,47.61,52.9,38.62,65.61,42.78,61.49
SDTN,40.73,61.89,42.91,58.21,38.14,63.97,46.39,54.33
DR-UDA,45.08,57.43,50.22,49.77,49.18,51.25,44.35,58.93
USDAN,35.05,69.57,38.64,64.97,37.76,64.39,35.52,69.19
PatchCNN,35.53,67.93,46.52,53.86,34.71,68.21,35.74,69.13
PDEN,34.41,70.15,45.62,55.45,44.61,56.65,44.28,57.43
LD,33.96,71.01,41.37,62.11,39.07,62.96,36.08,64.92
OSD,31.96,72.28,37.5,65.51,33.24,72.1,35.2,69.28
OURS,30.16,74.43,36.68,68.27,36.24,68.1,29.85,75.31
